,price,type,subtype,constructionYear,condition,room_number,cuisine_type,heatingType,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name
0,1550000,apartment,apartment,2017.0,as new,3.0,usa hyper equipped,gas,213,7277.0,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9039019,lecobel vaneau vente neuf
1,495000,apartment,apartment,1960.0,good,3.0,hyper equipped,gas,120,4125.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9040807,emile garcin belgique sprl
2,1537000,apartment,apartment,2015.0,as new,2.0,hyper equipped,gas,160,9606.25,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8954649,latour et petit vente
3,1839000,apartment,apartment,2015.0,as new,3.0,hyper equipped,gas,203,9059.11,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8892307,latour et petit vente
4,510000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,116,4396.55,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8855273,lecobel vaneau vente neuf
5,2500000,apartment,penthouse,2019.0,as new,4.0,usa hyper equipped,gas,277,9025.27,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8952406,victoire (vente)
6,1550000,apartment,apartment,2017.0,as new,3.0,hyper equipped,gas,212,7311.32,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8876611,latour et petit vente
7,2500000,apartment,penthouse,2019.0,as new,4.0,usa hyper equipped,gas,277,9025.27,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8935749,victoire (immobilier neuf)
8,189000,apartment,apartment,1933.0,to renovate,1.0,not installed,fueloil,40,4725.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9002958,urban concept sprl
9,295000,apartment,apartment,1960.0,good,2.0,semi equipped,fueloil,89,3314.61,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8948849,by the way
10,340000,apartment,apartment,1960.0,good,2.0,installed,fueloil,98,3469.39,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8961100,abita agence immobilière scrl
11,395000,apartment,penthouse,1975.0,just renovated,1.0,installed,gas,70,5642.86,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8817737,upgrade immo
12,449000,apartment,apartment,1947.0,as new,2.0,hyper equipped,fueloil,140,3207.14,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8955877,metropole properties
13,469000,apartment,apartment,1970.0,good,4.0,installed,fueloil,160,2931.25,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8916319,metropole properties
14,485000,apartment,apartment,1936.0,to be done up,3.0,hyper equipped,fueloil,170,2852.94,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8992274,color properties
15,850000,apartment,apartment,1904.0,as new,3.0,hyper equipped,gas,227,3744.49,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8762536,orientations
16,1125000,apartment,apartment,2010.0,as new,3.0,hyper equipped,gas,233,4828.33,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8585767,orientations
17,990000,apartment,apartment,1936.0,good,3.0,hyper equipped,gas,200,4950.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9026964,emile garcin belgique sprl
18,280000,apartment,apartment,1956.0,to be done up,2.0,semi equipped,gas,97,2886.6,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8375752,immo style - immo lofts group bruxelles
19,360000,apartment,apartment,1958.0,good,2.0,installed,gas,103,3495.15,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8931964,noa  real estate
20,390000,apartment,apartment,1930.0,good,2.0,installed,gas,120,3250.0,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9005058,argayon immo
21,385000,apartment,apartment,1962.0,good,1.0,usa hyper equipped,gas,72,5347.22,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8854465,we invest real estate
22,435000,apartment,apartment,1950.0,good,2.0,hyper equipped,fueloil,115,3782.61,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8992811,latour et petit vente
23,410000,apartment,apartment,2020.0,just renovated,1.0,usa hyper equipped,gas,70,5857.14,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8850631,montois immobilier
24,435000,apartment,apartment,1998.0,just renovated,2.0,usa hyper equipped,gas,108,4027.78,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8929872,rainbow properties
25,530000,apartment,apartment,2011.0,as new,3.0,usa hyper equipped,gas,153,3464.05,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8925653,rainbow properties
26,690000,apartment,apartment,1958.0,good,2.0,hyper equipped,gas,172,4011.63,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8950461,louise properties
27,1790000,apartment,apartment,1940.0,good,4.0,hyper equipped,fueloil,300,5966.67,2.0,False,True,False,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,8992594,louise properties
28,175000,apartment,flat studio,1970.0,good,1.0,installed,gas,34,5147.06,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9036161,cd properties
29,650000,apartment,apartment,1930.0,good,3.0,installed,fueloil,210,3095.24,0.0,True,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8628973,best partner immobilière - bruxelles
30,1485000,apartment,apartment,1950.0,as new,3.0,hyper equipped,gas,175,8485.71,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8591560,orientations
31,1550000,apartment,apartment,1992.0,to be done up,4.0,installed,gas,338,4585.8,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,8966827,upgrade immo
32,520000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,116,4482.76,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8977544,lecobel vaneau vente neuf
33,630000,apartment,apartment,2018.0,as new,2.0,usa hyper equipped,gas,106,5943.4,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8808552,lecobel vaneau vente neuf
34,1550000,apartment,apartment,2016.0,as new,3.0,usa hyper equipped,gas,214,7242.99,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8590303,rainbow properties
35,249000,apartment,apartment,1941.0,good,1.0,installed,electric,60,4150.0,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9028324,home horizon sprl
36,220000,apartment,flat studio,2019.0,as new,0.0,installed,gas,49,4489.8,11.0,False,False,False,1050,Ixelles,Brussels Capital Region,5.0,4.3815707,50.8222854,8394866,thomas &amp; piron - bâtiment
37,210000,apartment,ground floor,1966.0,good,1.0,semi equipped,fueloil,50,4200.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8839129,latour et petit vente
38,685000,apartment,apartment,1934.0,good,3.0,installed,gas,148,4628.38,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9023409,louise properties
39,1200000,apartment,apartment,1844.0,just renovated,3.0,hyper equipped,gas,210,5714.29,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9000661,real lab
40,602000,apartment,apartment,2021.0,as new,3.0,hyper equipped,gas,124,4854.84,2.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8992010,victoire (immobilier neuf)
41,1575000,apartment,apartment,1925.0,as new,2.0,hyper equipped,gas,260,6057.69,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9034671,cd properties
42,280000,apartment,flat studio,2020.0,as new,0.0,usa hyper equipped,gas,55,5090.91,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9014524,noa  real estate
