,id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,room_number,atticExists,basementExists,hasSwimmingPool,parking intérieur,parking extérieur,short_id,company_name,mètres carrés,commune
2,9039019,apartment,apartment,1550000,for sale,1050,xl,usa hyper equipped,2017.0,as new,gas,3.0,False,False,False,0.0,1.0,2595964,lecobel vaneau vente neuf,213,Ixelles
3,9043036,apartment,apartment,195000,for sale,9600,xl,installed,2014.0,good,gas,2.0,False,False,False,0.0,0.0,1002634,immo beguin,75,Renaix
4,9042073,apartment,apartment,320000,for sale,1070,xl,usa hyper equipped,2017.0,as new,gas,3.0,False,True,False,1.0,1.0,2916018,sky realty,130,Anderlecht
5,9034494,apartment,apartment,715000,for sale,1950,xl,usa hyper equipped,2020.0,as new,gas,2.0,False,True,False,1.0,1.0,2352,latour et petit vente,126,Kraainem
6,9042950,apartment,triplex,235000,for sale,6010,xl,hyper equipped,2013.0,as new,gas,3.0,False,False,False,0.0,1.0,663882,etimo,149,Couillet
7,8997289,apartment,flat studio,224500,for sale,1180,xl,hyper equipped,1950.0,good,gas,1.0,False,False,False,0.0,0.0,1731013,orientations,52,Uccle
9,9039433,apartment,apartment,780000,for sale,1180,xl,usa hyper equipped,1962.0,just renovated,gas,3.0,False,True,False,1.0,1.0,1942392,bathim &amp; co,190,Uccle
10,9038896,apartment,apartment,210000,for sale,4430,xl,installed,2020.0,as new,gas,2.0,False,True,False,0.0,1.0,558223,cd consult,77,Ans
11,9038897,apartment,apartment,250000,for sale,4430,xl,installed,2020.0,as new,gas,2.0,False,True,False,0.0,1.0,558223,cd consult,97,Ans
13,9039312,apartment,apartment,358000,for sale,9000,xl,installed,1969.0,good,gas,2.0,False,True,False,0.0,0.0,348077,trevi gent,85,Gand
14,9039311,apartment,loft,360500,for sale,2060,xl,installed,1918.0,good,gas,2.0,False,True,False,1.0,0.0,348077,trevi gent,114,Anvers
15,9038507,apartment,duplex,199000,for sale,8370,xl,installed,2004.0,good,gas,2.0,False,True,False,0.0,0.0,2759428,immo marina,87,Blankenberge
18,9034495,apartment,flat studio,239500,for sale,1160,xl,usa hyper equipped,2022.0,as new,gas,0.0,False,False,False,0.0,0.0,2352,latour et petit vente,46,Auderghem
19,9034656,apartment,service flat,320000,for sale,8670,xl,usa hyper equipped,2019.0,as new,gas,1.0,False,False,False,0.0,0.0,1361501,immo la terrasse,57,Sint-Idesbald
20,9035930,apartment,apartment,229000,for sale,1040,xl,usa installed,1975.0,as new,gas,1.0,False,True,False,0.0,0.0,2305,abita agence immobilière scrl,52,Etterbeek
22,9037183,apartment,apartment,265000,for sale,9050,xl,installed,2015.0,as new,gas,1.0,False,False,False,0.0,0.0,2118760,landbergh,76,Gentbrugge
23,9036417,apartment,apartment,169000,for sale,1080,xl,not installed,1960.0,to renovate,gas,2.0,False,True,False,0.0,0.0,2953237,realor  properties,70,Molenbeek-St-Jean
25,9035995,apartment,apartment,198000,for sale,1500,xl,semi equipped,1966.0,good,gas,2.0,False,True,False,0.0,0.0,989034,pajota halle,87,Halle
26,9033767,apartment,apartment,165000,for sale,6001,xl,hyper equipped,2020.0,as new,gas,1.0,False,True,False,8.0,10.0,1400721,concept confort sprl,64,Marcinelle
27,9040974,apartment,apartment,280000,for sale,9700,xl,installed,2013.0,good,gas,3.0,False,False,False,0.0,1.0,1574509,axel lenaerts makelaars oudenaarde bvba,140,EINE
28,9041253,apartment,apartment,197500,for sale,1030,xl,hyper equipped,1980.0,just renovated,gas,1.0,False,True,False,1.0,0.0,1229100,direct immo,70,Schaerbeek
29,9033790,apartment,apartment,265000,for sale,6001,xl,hyper equipped,2020.0,as new,gas,2.0,False,True,False,7.0,10.0,1400721,concept confort sprl,104,Marcinelle
