,price,constructionYear,room_number,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name,type_is_apartment,type_is_house,subtype_is_apartment,subtype_is_apartment block,subtype_is_bungalow,subtype_is_castle,subtype_is_chalet,subtype_is_country cottage,subtype_is_duplex,subtype_is_exceptional property,subtype_is_farmhouse,subtype_is_flat studio,subtype_is_ground floor,subtype_is_house,subtype_is_loft,subtype_is_manor house,subtype_is_mansion,subtype_is_mixed use building,subtype_is_other property,subtype_is_penthouse,subtype_is_service flat,subtype_is_town house,subtype_is_triplex,subtype_is_villa,cuisine_type_is_hyper equipped,cuisine_type_is_installed,cuisine_type_is_not installed,cuisine_type_is_semi equipped,cuisine_type_is_usa hyper equipped,cuisine_type_is_usa installed,cuisine_type_is_usa semi equipped,cuisine_type_is_usa uninstalled,condition_is_as new,condition_is_good,condition_is_just renovated,condition_is_to be done up,condition_is_to renovate,condition_is_to restore,heatingType_is_carbon,heatingType_is_electric,heatingType_is_fueloil,heatingType_is_gas,heatingType_is_pellet,heatingType_is_solar,heatingType_is_wood
0,1550000,2017.0,3.0,213,7277.0,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9039019,lecobel vaneau vente neuf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,495000,1960.0,3.0,120,4125.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9040807,emile garcin belgique sprl,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,1537000,2015.0,2.0,160,9606.25,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8954649,latour et petit vente,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,1839000,2015.0,3.0,203,9059.11,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8892307,latour et petit vente,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,510000,2018.0,3.0,116,4396.55,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8855273,lecobel vaneau vente neuf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,2500000,2019.0,4.0,277,9025.27,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8952406,victoire (vente),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,1550000,2017.0,3.0,212,7311.32,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8876611,latour et petit vente,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,2500000,2019.0,4.0,277,9025.27,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8935749,victoire (immobilier neuf),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,189000,1933.0,1.0,40,4725.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9002958,urban concept sprl,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9,295000,1960.0,2.0,89,3314.61,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8948849,by the way,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,340000,1960.0,2.0,98,3469.39,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8961100,abita agence immobilière scrl,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,395000,1975.0,1.0,70,5642.86,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8817737,upgrade immo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12,449000,1947.0,2.0,140,3207.14,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8955877,metropole properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13,469000,1970.0,4.0,160,2931.25,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8916319,metropole properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14,485000,1936.0,3.0,170,2852.94,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8992274,color properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,850000,1904.0,3.0,227,3744.49,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8762536,orientations,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
16,1125000,2010.0,3.0,233,4828.33,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8585767,orientations,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17,990000,1936.0,3.0,200,4950.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9026964,emile garcin belgique sprl,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
18,280000,1956.0,2.0,97,2886.6,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8375752,immo style - immo lofts group bruxelles,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
19,360000,1958.0,2.0,103,3495.15,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8931964,noa  real estate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20,390000,1930.0,2.0,120,3250.0,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9005058,argayon immo,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
21,385000,1962.0,1.0,72,5347.22,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8854465,we invest real estate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22,435000,1950.0,2.0,115,3782.61,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8992811,latour et petit vente,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23,410000,2020.0,1.0,70,5857.14,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8850631,montois immobilier,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,435000,1998.0,2.0,108,4027.78,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8929872,rainbow properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25,530000,2011.0,3.0,153,3464.05,1.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8925653,rainbow properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,690000,1958.0,2.0,172,4011.63,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8950461,louise properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27,1790000,1940.0,4.0,300,5966.67,2.0,False,True,False,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,8992594,louise properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28,175000,1970.0,1.0,34,5147.06,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9036161,cd properties,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
29,650000,1930.0,3.0,210,3095.24,0.0,True,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8628973,best partner immobilière - bruxelles,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
